Question,Label,Tagged
How long for swamp water dish to boil?,TIME,How long for <name>swamp</name> <name>water</name> dish to <method>boil</method> ?
How much nectar do I use for savory stuffing bread?,QTY,How much <ing>nectar</ing> do I use for <name>savory</name> <name>stuffing</name> <name>bread</name> ?
Which ingredients help make the perfect Honeydew Juice?,ING,Which ingredients help make the perfect <name>Honeydew</name> <name>Juice</name> ?
I want ingredient advice for Quick Butter Croissants?,ING,I want ingredient advice for <name>Quick</name> <name>Butter</name> <name>Croissants</name> ?
Do you know how long it takes Yogurt-Marinated Chicken Shawarma to stew?,TIME,Do you know how long it takes <name>Yogurt-Marinated</name> <name>Chicken</name> <name>Shawarma</name> to <method>stew</method> ?
What are the necessary utensils to stew the Orange Cumin Vinaigrette?,EQUIP,What are the necessary utensils to <method>stew</method> the <name>Orange</name> <name>Cumin</name> <name>Vinaigrette</name> ?
All about Quick Banana Bread,ALL,All about <name>Quick</name> <name>Banana</name> <name>Bread</name>
What the heck is paleo-friendly applesauce cookie?,OBJ,What the heck is <name>paleo-friendly</name> <name>applesauce</name> <name>cookie</name> ?
Give me the recipe of roasting the Creamy Limoncello please!?,DIR,Give me the recipe of <method>roasting</method> the <name>Creamy</name> <name>Limoncello</name> please ! ?
Best way for stewing pear?,DIR,Best way for <method>stewing</method> <ing>pear</ing> ?
Need some help to simmer guacamole salad?,DIR,Need some help to <method>simmer</method> <name>guacamole</name> <name>salad</name> ?
How much time should chicken annie style be prepared?,TIME,How much time should <name>chicken</name> <name>annie</name> <name>style</name> be prepared ?
All about iced-teani,ALL,All about <name>iced-teani</name>
How much time for baking Halushki?,TIME,How much time for <method>baking</method> <ing>Halushki</ing> ?
Description about Smoked Sausage Tacos,OBJ,Description about <name>Smoked</name> <name>Sausage</name> <name>Tacos</name>
Which ingredients help make the perfect kentucky derby pie?,ING,Which ingredients help make the perfect <name>kentucky</name> <name>derby</name> <name>pie</name> ?
Best way for grilling watermelon?,DIR,Best way for <method>grilling</method> <ing>watermelon</ing> ?
what are  interesting healthy recipes to try ?,NAME,what are interesting <type>healthy</type> recipes to try ?
Any good Fondant recipes?,NAME,Any good <type>Fondant</type> recipes ?
Which utensils should you use when making thai chicken satay dish?,EQUIP,Which utensils should you use when making <name>thai</name> <name>chicken</name> <name>satay</name> dish ?
How many packs of wine need to grill manhattan honeymoon?,QTY,How many packs of <ing>wine</ing> need to <method>grill</method> <name>manhattan</name> <name>honeymoon</name> ?
What could I use on A Healthier Mochaccino?,ING,What could I use on A <name>Healthier</name> <name>Mochaccino</name> ?
"Best way to bake leeks, mozzarella cheeses?",DIR,"Best way to <method>bake</method> <ing>leeks</ing> , <ing>mozzarella</ing> <ing>cheeses</ing> ?"
Utensils to simmer dish greek veggie pizza?,EQUIP,Utensils to <method>simmer</method> dish <name>greek</name> <name>veggie</name> <name>pizza</name> ?
what is the utensil used for roasting easy sweet chili?,EQUIP,what is the utensil used for <method>roasting</method> <name>easy</name> <name>sweet</name> <name>chili</name> ?
How much time should I fry jackfruit crawls dish?,TIME,How much time should I <method>fry</method> <name>jackfruit</name> <name>crawls</name> dish ?
All about heart cake,ALL,
Help to steam Sparkling Sea Breeze - What should I do?,DIR,Help to <method>steam</method> <name>Sparkling</name> <name>Sea</name> <name>Breeze</name> - What should I do ?
Italian Semolina Dumplings?,ALL,<name>Italian</name> <name>Semolina</name> <name>Dumplings</name> ?
what is in dish cranberry gravy?,ING,what is in dish <name>cranberry</name> <name>gravy</name> ?
List of Equip. Needed for boiling the Brandy Glazed Carrots dish?,EQUIP,List of Equip . Needed for <method>boiling</method> the <name>Brandy</name> <name>Glazed</name> <name>Carrots</name> dish ?
Utensils for grilling Peachy Ginger Soup?,EQUIP,Utensils for <method>grilling</method> <name>Peachy</name> <name>Ginger</name> <name>Soup</name> ?
What is Avocado Baked Eggs dish made of?,ING,What is <name>Avocado</name> <name>Baked</name> <name>Eggs</name> dish made of ?
How long can spicy pecan soup be simmered?,TIME,How long can <name>spicy</name> <name>pecan</name> <name>soup</name> be <method>simmered</method> ?
List of Equip. Needed for frying the easy oatmeal muffins?,EQUIP,List of Equip . Needed for <method>frying</method> the <name>easy</name> <name>oatmeal</name> <name>muffins</name> ?
"I have white rice, water. Can you suggest what recipe I use to use them all?",NAME,"I have <ing>white</ing> <ing>rice</ing> , <ing>water</ing> . Can you suggest what recipe I use to use them all ?"
What should I cook for dinner?,NAME,What should I cook for <type>dinner</type> ?
How long does it take to grill Pear-Fig Salad?,TIME,How long does it take to <method>grill</method> <name>Pear-Fig</name> <name>Salad</name> ?
Time for steaming Honey BBQ Sauce,TIME,Time for <method>steaming</method> <name>Honey</name> <name>BBQ</name> <name>Sauce</name>
What are essential Naan-like Easy Flatbread ingredients?,ING,What are essential <name>Naan-like</name> <name>Easy</name> <name>Flatbread</name> ingredients ?
What are the nutrients present in Buttermilk Bread II?,NUT,What are the nutrients present in <name>Buttermilk</name> <name>Bread</name> <name>II</name> ?
What are the necessary utensils to make the chai limeade dish?,EQUIP,What are the necessary utensils to make the <name>chai</name> <name>limeade</name> dish ?
ingredients for coconut shrimp ceviche?,ING,ingredients for <name>coconut</name> <name>shrimp</name> <name>ceviche</name> ?
roasted cauliflower soup?,ALL,<name>roasted</name> <name>cauliflower</name> <name>soup</name> ?
How many tablespoons of nectar for baking Albondigas?,QTY,How many tablespoons of <ing>nectar</ing> for <method>baking</method> <name>Albondigas</name> ?
What could I use on sugarless pumpkin pie?,ING,What could I use on <name>sugarless</name> <name>pumpkin</name> <name>pie</name> ?
how much wine for making Mixed Mocha?,QTY,how much <ing>wine</ing> for making <name>Mixed</name> <name>Mocha</name> ?
Which ingredients help make the perfect cockaleekie soup?,ING,Which ingredients help make the perfect <name>cockaleekie</name> <name>soup</name> ?
What are some quick Apple Dessert recipes?,NAME,What are some <type>quick</type> <type>Apple</type> <type>Dessert</type> recipes ?
Do you know good Molasses Cookie recipes to grill?,NAME,Do you know good <type>Molasses</type> <type>Cookie</type> recipes to <method>grill</method> ?
Do you know how to roast dishes Panna Cotta and Vareniky?,DIR,Do you know how to <method>roast</method> dishes <name>Panna</name> <name>Cotta</name> and <name>Vareniky</name> ?
What are ingredients for the Yummy Grilled Asparagus?,ING,What are ingredients for the <name>Yummy</name> <name>Grilled</name> <name>Asparagus</name> ?
"Best way to make mozzarella cheese, hot dogs and cloves?",DIR,"Best way to make <ing>mozzarella</ing> <ing>cheese</ing> , <ing>hot</ing> <ing>dogs</ing> and <ing>cloves</ing> ?"
Nutrition info of blackberry rum cobbler?,NUT,Nutrition info of <name>blackberry</name> <name>rum</name> <name>cobbler</name> ?
What are the necessary utensils to cook the red pepper vinaigrette?,EQUIP,What are the necessary utensils to cook the <name>red</name> <name>pepper</name> <name>vinaigrette</name> ?
What nutritional value do Yummy Artichoke Dip have?,NUT,What nutritional value do <name>Yummy</name> <name>Artichoke</name> <name>Dip</name> have ?
How many cups of nectar need to roast carrot cake iv dish?,QTY,How many cups of <ing>nectar</ing> need to <method>roast</method> <name>carrot</name> <name>cake</name> <name>iv</name> dish ?
What's in asparagus casserole i?,ING,What 's in <name>asparagus</name> <name>casserole</name> <name>i</name> ?
What can I mix with sugar for making indonesian curried cabbage?,ING,What can I mix with <ing>sugar</ing> for making <name>indonesian</name> <name>curried</name> <name>cabbage</name> ?
How much time should Balsamic Pasta Primavera be simmered?,TIME,How much time should <name>Balsamic</name> <name>Pasta</name> <name>Primavera</name> be <method>simmered</method> ?
What are some good dishes that I can stew with lemon??,NAME,What are some good dishes that I can <method>stew</method> with <ing>lemon</ing> ? ?
How much time should Coconut Jerk Chicken dish be baked?,TIME,How much time should <name>Coconut</name> <name>Jerk</name> <name>Chicken</name> dish be <method>baked</method> ?
How many medium carrots do I need for beef stifado?,QTY,How many <ing>medium</ing> <ing>carrots</ing> do I need for <name>beef</name> <name>stifado</name> ?
Best Mexican Brownies recipe?,ALL,Best <name>Mexican</name> <name>Brownies</name> recipe ?
What can you tell me about Vegetarian Fried Rice?,OBJ,What can you tell me about <name>Vegetarian</name> <name>Fried</name> <name>Rice</name> ?
Do you know how long it takes Rudolph Noses to fry?,TIME,Do you know how long it takes <name>Rudolph</name> <name>Noses</name> to <method>fry</method> ?
How much time should dish cornucopia be roasted?,TIME,How much time should dish <name>cornucopia</name> be <method>roasted</method> ?
How much mustard is required for Easy Salmon Dip?,QTY,How much <ing>mustard</ing> is required for <name>Easy</name> <name>Salmon</name> <name>Dip</name> ?
What should I know about thanksgiving beets dish?,OBJ,What should I know about <name>thanksgiving</name> <name>beets</name> dish ?
cooking time of Gingerbread Butterscotch Trifle?,TIME,cooking time of <name>Gingerbread</name> <name>Butterscotch</name> <name>Trifle</name> ?
Tequila Drinks recipes?,NAME,<type>Tequila</type> <type>Drinks</type> recipes ?
How do I simmer Lentil Pate from head cabbage?,DIR,How do I <method>simmer</method> <name>Lentil</name> <name>Pate</name> from <ing>head</ing> <ing>cabbage</ing> ?
"Healthy broccoli, zucchinis and medium carrots recipes for lunch?",NAME,"<type>Healthy</type> <ing>broccoli</ing> , <ing>zucchinis</ing> and <ing>medium</ing> <ing>carrots</ing> recipes for <type>lunch</type> ?"
"Best way to cook medium carrot, mozzarella cheeses and leeks?",DIR,"Best way to cook <ing>medium</ing> <ing>carrot</ing> , <ing>mozzarella</ing> <ing>cheeses</ing> and <ing>leeks</ing> ?"
All information of supercharged breakfast smoothie dish,ALL,All information of <name>supercharged</name> <name>breakfast</name> <name>smoothie</name> dish
Quantity of corn to simmer dish sour cream dressing?,QTY,Quantity of <ing>corn</ing> to <method>simmer</method> dish <name>sour</name> <name>cream</name> <name>dressing</name> ?
Vegan Quinoa Oatmeal?,ALL,<name>Vegan</name> <name>Quinoa</name> <name>Oatmeal</name> ?
What are some quick Fish recipes?,NAME,What are some <type>quick</type> <type>Fish</type> recipes ?
Instruct me for grilling the breakfast omwich.,DIR,Instruct me for <method>grilling</method> the <name>breakfast</name> <name>omwich</name> .
What can I mix with white rice for preparing Acorn Squash Butter?,ING,What can I mix with <ing>white</ing> <ing>rice</ing> for preparing <name>Acorn</name> <name>Squash</name> <name>Butter</name> ?
what kinds of french dishes can I grill with mushroom?,NAME,what kinds of <type>french</type> dishes can I <method>grill</method> with <ing>mushroom</ing> ?
All information of asparagus chicken dish,ALL,All information of <name>asparagus</name> <name>chicken</name> dish
All about Cocktail Meatballs IV,ALL,All about <name>Cocktail</name> <name>Meatballs</name> <name>IV</name>
All about cheesecake brownies,ALL,All about <name>cheesecake</name> <name>brownies</name>
What is the pasta salad dish?,OBJ,What is the <name>pasta</name> <name>salad</name> dish ?
Let me know something about Grapefruit Soda?,OBJ,Let me know something about <name>Grapefruit</name> <name>Soda</name> ?
All about lebanese radish salad,ALL,All about <name>lebanese</name> <name>radish</name> <name>salad</name>
Nutrition info of peach monkey bread?,NUT,Nutrition info of <name>peach</name> <name>monkey</name> <name>bread</name> ?
What the heck is indian-style salmon fry?,OBJ,What the heck is <name>indian-style</name> <name>salmon</name> <name>fry</name> ?
What is breakfast cake dish made of?,ING,What is <name>breakfast</name> <name>cake</name> dish made of ?
Utensils to cook Peppermint Patty I?,EQUIP,Utensils to cook <name>Peppermint</name> <name>Patty</name> <name>I</name> ?
What should I know about Strawberry-Banana-Tahini Pops?,OBJ,What should I know about <name>Strawberry-Banana-Tahini</name> <name>Pops</name> ?
"I have some shrimps, what are good recipes to stew with it?",NAME,"I have some <ing>shrimps</ing> , what are good recipes to <method>stew</method> with it ?"
Need some help to bake korean beef ribs dish?,DIR,Need some help to <method>bake</method> <name>korean</name> <name>beef</name> <name>ribs</name> dish?
How long do I grill Easy Persimmon Jam?,TIME,How long do I <method>grill</method> <name>Easy</name> <name>Persimmon</name> <name>Jam</name> ?
How long to fry Vegan Tofu Quiche?,TIME,How long to <method>fry</method> <name>Vegan</name> <name>Tofu</name> <name>Quiche</name> ?
Description about Vanilla-Banana Smoothie,OBJ,Description about <name>Vanilla-Banana</name> <name>Smoothie</name>
